japanese,kana,english
旅行どうでしたか？,りょこう どう でした か？,How was your trip?
どうでした、旅行？,どう でした、りょこう？,How was your trip?
旅行はどうでした？,りょこう は どう でした？,How was your trip?
嬉しい驚きでした。,うれしい おどろき でした。,I was pleasantly surprised.
いい旅行でしたか？,いい りょこう でした か？,Was it a nice trip?
専攻は何でしたか？,せんこう は なに でした か？,What was your major?
トムは短命でした。,トム は たんめい でした。,Tom didn't live a long life.
善処いたします。,ぜんしょいたします。,I'll have to go and see what I can do.
洗髪いたしますか。,せんぱついたします か。,Would you like to have your hair washed?
後でお電話いたします。,あとで お でんわいたします。,I'll call you later.
切符を拝見いたします。,きっぷ を はいけんいたします。,"Ticket, please."
明日お返事いたします。,あした お へんじいたします。,I'll answer you tomorrow.
幸運をお祈りいたします。,こううん を おいのりいたします。,I wish you good luck.
よろしくお願いいたします。,よろしく おねがいいたします。,Thank you in advance.
また後ほどお電話いたします。,また のちほど お でんわいたします。,I'll call again later.
三日以内にお返事いたします。,さんにち いない に お へんじいたします。,I will answer within three days.
分かり次第お電話いたします。,わかり しだい お でんわいたします。,We will contact you as soon as we know.
明日までにご用意いたします。,あした までに ご よういいたします。,I'll have it ready for you by tomorrow.
お力添えをお願いいたします。,お ちからぞえ を おねがいいたします。,I require your assistance.
今晩そちらにお電話いたします。,こんばん そちら に お でんわいたします。,I'll call you up this evening.
当機は間もなく離陸いたします。,とうき は まもなく りりくいたします。,We will soon take off.
細やかなお心遣いに感謝いたします。,こまやか な お こころづかい に かんしゃいたします。,I appreciate your attention to detail.
この電車は当駅で2分ほど停車いたします。,この でんしゃ は とう えき で 2ふん ほど ていしゃいたします。,The train will remain at this station for approximately 2 minutes.
詳細が分かり次第、またご連絡いたします。,しょうさい が わかり しだい、また ご れんらくいたします。,I’ll be in touch again as soon as I have more detailed information.
当機はまもなく東京国際空港に到着いたします。,とうき は まもなく とうきょう こくさい くうこう に とうちゃくいたします。,We will be landing at Tokyo International Airport momentarily.
そう言ったことが二度と起こらない様にいたします。,そう いった こと が にどと おこらない よう に いたします。,I'll see to it that it never happens again.
日本航空７３１便、ご搭乗の最終案内をいたします。,にほんこうくう ７３１びん、ご とうじょう の さいしゅう あんない を いたします。,This is the final boarding call for Japan Airlines Flight 731.
逃すわけない。,のがす わけ ない。,I won't let you escape.
俺が知るわけないじゃん。,おれ が しるわけないじゃん。,How should I know?
永遠の愛なんてあるわけないじゃん。,えいえん の あい なんて ある わけないじゃん。,Eternal love doesn't exist.
「トムはどこ？」「僕が知るわけないじゃん」,「トム は どこ？」「ぼく が しるわけないじゃん」,"Where's Tom? ""How would I know?"""
こんなデカイのがチャリの荷台に乗るわけないだろ。,こんな デカイ の が チャリ の にだい に のるわけないだろ。,There's no way one that big is going to go on a bike's luggage rest.
彼は寝返りをうった。,かれ は ねがえり を うった。,He rolled over in his sleep.
ケンは頭痛をうったえた。,ケン は ずつう を うったえた。,Ken complained of a headache.
彼は一晩中寝返りをうった。,かれ は いちばんちゅう ねがえり を うった。,He tossed and turned all night.
すいません、タイポです。,すいません、タイ ポ です。,"Sorry, that's a typo."
すいません、忘れました。,すいません、わすれました。,I'm sorry. I forgot.
すいません、興味ありません。,すいません、きょうみ ありません。,"Sorry, I'm not interested."
ご迷惑をおかけしてすいません。,ご めいわく を おかけ して すいません。,I'm sorry to trouble you.
すいません、これいくらですか？,すいません、これ いくら です か？,"Excuse me, how much are these?"
こんなに迷惑をかけてすいません。,こんなに めいわく を かけて すいません。,I'm sorry to cause you all this trouble.
すいません、悪気はなかったんです。,すいません、わるぎ は なかっ た ん です。,"I'm sorry, I meant no offence."
すいません、スプーンを頂けますか？,すいません、スプーン を いただけます か？,"Excuse me, may I have a spoon?"
すいません、ここ、座っていいですか？,すいません、ここ、すわって いい です か？,"Excuse me, do you mind if I sit here?"
すいません、サビ抜きでお願いします。,すいません、サビ ぬき で おねがい します。,"Excuse me, can you make the sushi without wasabi?"
すいません、郵便局はどこでしょうか。,すいません、ゆうびんきょく は どこ でしょう か。,"Excuse me, which way is the post office?"
すいません。この辺に詳しくないのです。,すいません。この あたり に くわしく ない の です。,"Sorry, I'm a stranger here."
すいませんが、電話を貸して下さいませんか。,すいません が、でんわ を かしてくださいません か。,"Excuse me, but may I use your telephone?"
すいません、テーブルにライターを忘れてますよ。,すいません、テーブル に ライター を わすれて ます よ。,Sorry. You forgot your lighter at the table.
あきらめるな。,あきらめる な。,Don't throw in the towel.
途中であきらめるな。,とちゅう で あきらめる な。,Don't give up halfway.
すぐにあきらめるのはやめようよ。,すぐ に あきらめる の は やめよう よ。,You shouldn't have given up so soon.
何でもいったんやり始めたら、絶対にあきらめるな。,なに でも いったん やりはじめたら、ぜったい に あきらめる な。,"Once you have begun to do something, never give up."
トムは、砂糖のかわりにハチミツを紅茶にいれます。,トム は、さとう の かわり に ハチミツ を こうちゃ に いれます。,Tom puts honey in his tea instead of sugar.
飛び跳ねて！,とびはねて！,Jump.
髪はねてるよ。,かみ はねてる よ。,You've got bits of hair sticking up.
明日私を訪ねて下さい。,あした わたし を たずねてください。,Please visit me tomorrow.
彼が君の様子を尋ねていた。,かれ が きみ の ようす を たずねていた。,He asked after you.
彼らは時々私を訪ねて来た。,かれら は ときどき わたし を たずねてきた。,They visited me occasionally.
トムは決めかねているようだ。,トム は きめかねている よう だ。,Tom looks undecided.
ただ彼のすることをまねてごらん。,ただ かれ の する こと を まねて ごらん。,Just imitate what he does.
用紙は３枚重ねて出してください。,ようし は ３まい かさねて だしてください。,Hand in the three sheets of paper together.
昨晩彼はひょっこり私を訪ねてきた。,さくばん かれ は ひょっこり わたし を たずねてきた。,He dropped in on me last night.
僕が訪ねて行った時彼は不在だった。,ぼく が たずねていった とき かれ は ふざい だった。,He wasn't at home when I called on him.
きみが出かけた直後に彼が訪ねてきた。,きみ が でかけた ちょくご に かれ が たずねてきた。,He came to see you right after you left.
次に何をしたらいいか彼に尋ねてごらん。,つぎに なに を したら いい か かれ に たずねて ごらん。,Ask him what to do next.
彼がいつ帰るのか彼女に尋ねてみなさい。,かれ が いつ かえる の か かのじょ に たずねてみなさい。,Ask her when he will come back.
明日そのことについて彼に尋ねてみます。,あした その こと について かれ に たずねてみます。,I will ask him about it tomorrow.
敬老の日には祖父母を訪ねて孝行します。,けいろう の ひ には そふぼ を たずねて こうこう します。,"On the Respect-for-Senior-Citizens Day, we visit our grandparents and do nice things for them."
彼はさらに約束を重ねて逃れようとした。,かれ は さらに やくそく を かさねて のがれよう と した。,He made promise after promise and then sought to get out of them.
私はどの車を買うか決めあぐねています。,わたし は どの くるま を かう か きめあぐねています。,I can't decide which car to buy.
昨日の夜、彼はふらっと私の家を訪ねてきた。,きのう の よる、かれ は ふらっと わたし の いえ を たずねてきた。,He dropped in at my house last night.
時々、お父さんがひょっこり私を訪ねて来る。,ときどき、おとうさん が ひょっこり わたし を たずねてくる。,My dad drops in on me from time to time.
今日は、ばーさんのお使いを兼ねて街で買い物。,きょう は、ば ーさん の お つかい を かねて まち で かいもの。,Today I'm shopping in town as well as running an errand for my grandmother.
その子はまだみつかっていない。,その こ は まだ みつかっていない。,The boy is yet to be found.
彼は歌いつづけた。,かれ は うたいつづけた。,He kept singing.
彼は話しつづけた。,かれ は はなしつづけた。,He kept talking.
彼女は話しつづけた。,かのじょ は はなしつづけた。,She went on speaking.
彼女はしゃべりつづけた。,かのじょ は しゃべりつづけた。,She kept on talking.
彼女は死ぬまで日記を書きつづけた。,かのじょ は しぬ まで にっき を かきつづけた。,She continued writing in her diary until she died.
けがをしているのに、彼らは戦いつづけた。,けが を しているのに、かれら は たたかいつづけた。,"Though wounded, they continued to fight."
彼はまるで何もなかったかのように話しつづけた。,かれ は まるで なに も なかっ た かの よう に はなしつづけた。,He went on talking as though nothing had happened.
父は新聞にざっと目をとおした。,ちち は しんぶん に ざっと め を とおした。,My father quickly scanned the newspaper.
私はパンフレットにざっと目をとおした。,わたし は パンフレット に ざっと め を とおした。,I glanced through the brochure.
このホテルであなたに会うとはおどろいた。,この ホテル で あなた に あう とは おどろいた。,I am surprised to see you here in this hotel.
怒ってなんかいませんってば！,おこってなんかいません ってば！,I'm not angry!
このクラスには女の子は3人しかいません。,この クラス には おんなのこ は 3にん しか いません。,There are only three girls in the class.
私はトムを味方とみなした。,わたし は トム を みかた と みなした。,I regarded Tom as a friend.
村人は、そのよそ者を自分たちの敵とみなした。,むらびと は、その よそもの を じぶんたち の てき と みなした。,The villagers regarded the stranger as their enemy.
難しいのはわかってる。,むずかしい の は わかってる。,I know it's difficult.
私の立場をわかってくれ。,わたし の たちば を わかってくれ。,Please understand my position.
自分でもわかってるくせに。,じぶん でも わかってる くせ に。,You should know it.
何が正しいのかわかっている。,なに が ただしい の か わかっている。,I know what's right.
本気だったのはわかってるよ。,ほんき だった の は わかってる よ。,I know it was serious.
彼女が忙しいのはわかっている。,かのじょ が いそがしい の は わかっている。,I know that she has been busy.
君は怒るだろうとわかっていたよ。,きみ は おこるだろう と わかっていた よ。,I knew you'd be mad.
何が間違っているかわかっている。,なに が まちがっている か わかっている。,I know what's wrong.
何をすればいいのかわかっています。,なに を すれば いい の か わかっています。,I know what to do.
あなたのことは全てわかっています。,あなた の こと は すべて わかっています。,I know all about you.
あなたが正しいのはわかっています。,あなた が ただしい の は わかっています。,I know you're right.
私だとわかって彼女はにっこりとした。,わたし だ と わかって かのじょ は にっこり と した。,She gave me a smile of recognition.
わかっていたらあなたに知らせたのに。,わかっていたら あなた に しらせた のに。,I'd have let you know if I had known.
どこに宝物は隠されるかわかってない。,どこ に ほうもつ は かくされる か わかってない。,I don't know where the treasure was hidden.
わかってるのなら、ちゃんとやりなさい。,わかってる の なら、ちゃんと やりなさい。,"If you understand, then do it properly."
これが困難であることはわかっています。,これ が こんなん である こと は わかっています。,I know this is hard.
彼にそれをわかってもらうことが出来た。,かれ に それ を わかってもらう こと が できた。,I was able to get him to understand.
あなたが私を避けているのはわかっている。,あなた が わたし を さけている の は わかっている。,I know you've been avoiding me.
トムはまず何をやるべきかわかっていない。,トム は まず なに を やるべき か わかっていない。,Tom doesn't know what to do first.
トムは自分に選択肢がないとわかっている。,トム は じぶん に せんたくし が ない と わかっている。,Tom knows he has no choice.
英語でCをとった。,えいご で C を とった。,I got a C in English.
物理でBをとった。,ぶつり で B を とった。,I got a B in physics.
私も年をとったなあ。,わたし も とし を とった なあ。,I feel old.
私はもう昼食をとった。,わたし は もう ちゅうしょく を とった。,I have already eaten lunch.
きのう魚を３匹とった。,きのう さかな を ３ひき とった。,I caught three fish yesterday.
彼は１日休みをとった。,かれ は １にち やすみ を とった。,He took a day off.
彼はもう昼食をとった。,かれ は もう ちゅうしょく を とった。,He has already had lunch.
老人は息を引きとった。,ろうじん は いき を ひきとった。,The old man breathed his last.
栄養のある朝食をとった。,えいよう の ある ちょうしょく を とった。,I had a sustaining breakfast.
彼は一週間休みをとった。,かれ は いちしゅうかん やすみ を とった。,He took a week off.
２時に遅い昼食をとった。,２じ に おそい ちゅうしょく を とった。,We had a late lunch at two.
私は昨日魚を五匹とった。,わたし は きのう さかな を ごひき とった。,I caught five fish yesterday.
睡眠をとったほうがいい。,すいみん を とった ほう が いい。,You need sleep.
祖母もすっかり歳をとった。,そぼ も すっかり とし を とった。,My grandma has gotten very old.
もっと休みをとったほうがいい。,もっと やすみ を とった ほう が いい。,I think you should get more rest.
彼女はその演説の速記をとった。,かのじょ は その えんぜつ の そっき を とった。,She took down the speech in shorthand.
睡眠をとったほうがよさそうだ。,すいみん を とった ほう が よさそう だ。,I need sleep.
私はその記事を雑誌から切りとった。,わたし は その きじ を ざっし から きりとった。,I cut the article out of the magazine.
カップルは写真のためにポーズをとった。,カップル は しゃしん の ため に ポーズ を とった。,The couple posed for the photograph.
ブルーベリーをとった後、タルトを作る。,ブルーベリー を とった のち、タルト を つくる。,"After I pick some blueberries, I make a tart."
君には嘘はつけないよ。,きみ には うそ は つけない よ。,I can't lie to you.
彼はうそをつけない人だ。,かれ は うそ を つけない ひと だ。,He is above telling lies.
パートの仕事を見つけないと。,パート の しごと を みつけない と。,I'll have to find a part-time job.
そんな風に叱りつけないでくれ。,そんな かぜ に しかりつけない でくれ。,Don't tell me off like that.
彼は正直者なので嘘はつけない。,かれ は しょうじきしゃ な ので うそ は つけない。,"He's honest, so he doesn't tell lies."
トムはメアリーを傷つけないようにした。,トム は メアリー を きずつけない よう に した。,Tom tried not to hurt Mary.
この小説はつまらない。,この しょうせつ は つまらない。,This novel is boring.
つまらない章は飛ばせ。,つまらない しょう は とばせ。,Skip the boring chapters.
家にいるのはつまらない。,いえ に いる の は つまらない。,Staying home isn't fun.
今日のテレビつまらない。,きょう の テレビ つまらない。,TV's boring today.
このビデオはつまらないよ。,この ビデオ は つまらない よ。,This video is boring.
仕事は退屈でつまらないです。,しごと は たいくつ で つまらない です。,My job is dull and boring.
つまらないことに時間を費やすな。,つまらない こと に じかん を ついやす な。,Don't waste your time on trifles.
つまらないことに時間を浪費するな。,つまらない こと に じかん を ろうひ する な。,Don't waste your time on trifles.
外国語を学習するのはつまらないよ。,がいこくご を がくしゅう する の は つまらない よ。,Learning foreign languages is boring.
つまらないものですがご笑納ください。,つまらない もの です が ご しょうのうください。,Please accept this little gift.
はっきり言うと、彼のスピーチはいつもつまらない。,はっきり いうと、かれ の スピーチ は いつも つまらない。,"Frankly speaking, his speeches are always dull."
イスの下にあった手袋をみつけました。,イス の した に あった てぶくろ を みつけました。,I found a pair of gloves under the chair.
宇宙でどうやって食べ物をみつけるの？,うちゅう で どう やって たべもの を みつける の？,How do you find food in outer space?
何がなくなっているんですか。,なに が なくなっている ん です か。,What is missing?
全部なくなってしまっていた。,ぜんぶ なくなってしまっていた。,All of them were gone.
トムは自分を愛せなくなっている。,トム は じぶん を あいせなく なっている。,Tom has become incapable of loving himself.
食べ物はすべてなくなってしまった。,たべもの は すべて なくなってしまった。,All the food was gone.
薬の効き目がだんだんなくなってきた。,くすり の ききめ が だんだん なくなってきた。,The effects of the medicine were wearing off.
バッテリー残量が少なくなっています。,バッテリー ざんりょう が すくなく なっています。,Your battery power is low.
この長火鉢は、震災でなくなってしまった。,この ながひばち は、しんさい でなく なってしまった。,I lost this oblong Japanese brazier in an earthquake.
トムはちょっと訳が分からなくなっている。,トム は ちょっと わけ が わからなく なっている。,Tom is a little disoriented.
君が帰る前に彼女はいなくなっているだろう。,きみ が かえる まえ に かのじょ は いなく なっているだろう。,She'll have left before you come back.
トムはにっちもさっちもいかなくなっている。,トム は にっちもさっちも いかなく なっている。,Tom is caught between a rock and a hard place.
トムが見当たらなくなってどれくらい経つの？,トム が みあたらなく なって どれ くらい たつ の？,How long has Tom been missing?
指輪一つと、現金が何ドルかなくなっています。,ゆびわ ひとつ と、げんきん が なんドル か なくなっています。,A ring and some cash are missing.
自分でも何言ってんだか分かんなくなってきた。,じぶん でも なに いって ん だ か わかんなく なってきた。,I started having trouble understanding what I was saying myself.
彼女は電車が見えなくなってもそこに立っていた。,かのじょ は でんしゃ が みえなく なっても そこ に たっていた。,She stood there even after the train was out of sight.
何のために勉強してんのか分かんなくなってきた。,なに の ため に べんきょう してん の か わかんなく なってきた。,I don't understand what I'm studying for anymore.
目が覚めてみたら、スーツケースがなくなっていた。,め が さめてみたら、スーツケース が なくなっていた。,I awoke to find my suitcase gone.
「助けて、助けて」、と彼女はさけんだ。,「たすけて、たすけて」、と かのじょ は さけんだ。,"Help, help, she cried."
あくびをした。,あくび を した。,I yawned.
トムはあくびした。,トム は あくび した。,Tom yawned.
何であくびするの？,なんで あくび する の？,Why are you yawning?
空はあくまでも青い。,そら は あくまでも あおい。,The sky is as blue as blue can be.
トムはあくびを抑えた。,トム は あくび を おさえた。,Tom suppressed a yawn.
私はあくびをかみ殺した。,わたし は あくび を かみころした。,I suppressed a yawn.
彼は大きなあくびをした。,かれ は おおきな あくび を した。,He yawned heavily.
トムはあくびをしている。,トム は あくび を している。,Tom is yawning.
トムはあくびをしていた。,トム は あくび を していた。,Tom was yawning.
あくまでも個人の感想です。,あくまでも こじん の かんそう です。,It is nothing more than an individual's opinion.
トムは大きなあくびをした。,トム は おおきな あくび を した。,Tom gave a big yawn.
あの先生の講義はあくびが出る。,あの せんせい の こうぎ は あくび が でる。,His lectures are terribly boring.
あくびをしないようにしなさい。,あくび を しない よう に しなさい。,Try not to yawn.
聴衆は退屈してあくびをし始めた。,ちょうしゅう は たいくつ して あくび を しはじめた。,"Being bored, the audience began to yawn."
トムはあくびを止められなかった。,トム は あくび を とめられなかった。,Tom couldn't stop yawning.
トムはあくびをしないようにした。,トム は あくび を しない よう に した。,Tom tried not to yawn.
あくびをしないようにしようとした。,あくび を しない よう に しよう と した。,I tried not to yawn.
かなりあくどい事をしてきたそうだな。,かなり あくどい こと を してきた そう だ な。,I hear you've done some pretty extreme stuff.
会議中にあくびをすることは礼儀正しくない。,かいぎちゅう に あくび を する こと は れいぎ ただしく ない。,Yawning in a meeting isn't polite.
咳、くしゃみ、あくびをする時は口を手で隠しなさい。,せき、くしゃみ、あくび を する とき は くち を て で かくしなさい。,"Cover your mouth when you cough, sneeze, or yawn."
１０分おくれて私は駅に着いた。,１０ふん おくれて わたし は えき に ついた。,I arrived at the station ten minutes late.
昨日はどうしていらっしゃらなかったのですか？,きのう は どうして いらっしゃらなかった の です か？,Why couldn't you come yesterday?
両替は承っておりません。,りょうがえ は うけたまわっておりません。,We don't exchange money.
表示価格には消費税は含まれておりません。,ひょうじ かかく には しょうひ ぜい は ふくまれておりません。,Consumption tax is not included in the display price.
おかけになった電話番号は現在使われておりません。,おかけ に なった でんわ ばんごう は げんざい つかわれておりません。,The number you have called is not in service.
こんなにご迷惑をかけるとは思っておりませんでした。,こんなに ご めいわく を かける とは おもっておりませんでした。,I had no idea it would put you to so much trouble.
数学の部分に満点をとれた。,すうがく の ぶぶん に まんてん を とれた。,I got a perfect score on the math section.
私達は美しい日没に見とれた。,わたしたち は うつくしい にちぼつ に みとれた。,We admired the beautiful sunset.
彼らはその丘からの素晴らしい眺めに見とれた。,かれら は その おか からの すばらしい ながめ に みとれた。,They admired the fine view from the hill.
大半の人がバランスのとれた食事を取っていない。,たいはん の ひと が バランス の とれた しょくじ を とっていない。,Most of us don't eat a balanced diet.
熱はありません。,ねつ は ありません。,I have no fever.
必要ありません。,ひつよう ありません。,I don't need it.
意識がありません。,いしき が ありません。,She is unconscious.
食欲がありません。,しょくよく が ありません。,I have a poor appetite.
証拠がありません。,しょうこ が ありません。,There's no evidence.
石鹸がありません。,せっけん が ありません。,There's no soap.
面白くありません。,おもしろく ありません。,We are not amused.
排卵がありません。,はいらん が ありません。,I don't ovulate.
時間がありません。,じかん が ありません。,I don't have time.
痛くはありません。,いたく は ありません。,It doesn't hurt.
在庫がありません。,ざいこ が ありません。,We're out of stock.
方法はありません。,ほうほう は ありません。,There is no other way.
証拠はありません。,しょうこ は ありません。,There's no proof.
とんでもありません！,とんでも ありません！,No way!
全く問題ありません！,まったく もんだい ありません！,No problem at all!
プールはありません。,プール は ありません。,We don't have a swimming pool.
驚くじゃありませんか！,おどろくじゃありません か！,You startled me!
急ぐ必要はありません。,いそぐ ひつよう は ありません。,There's no hurry.
色違いはありませんか。,いろちがい は ありません か。,Do you have this in any other colors?
大変申し訳ありません。,たいへん もうしわけ ありません。,I'm very sorry.
卵がかえる前にひよこの数を数えるな。,たまご が かえる まえ に ひよこ の かず を かぞえる な。,Don't count your chickens before they are hatched.
めんどりはヒナがかえるまで卵を抱きます。,めんどり は ヒナ が かえる まで たまご を いだきます。,The hen sits on her eggs until they hatch.
走る者はもう一度たたかえるかもしれない。,はしる もの は もういちど たたかえる かも しれない。,The man who runs may fight again.
トムに尋ねましたか。,トム に たずねました か。,Did you ask Tom?
彼女の住居を尋ねました。,かのじょ の じゅうきょ を たずねました。,I asked her for her address.
私はちょうど宿題をしおえたところです。,わたし は ちょうど しゅくだい を しおえた ところ です。,I have finished my homework.
来週ボストンにいくんだよね？,らいしゅう ボストン に いく ん だ よね？,"You're going to Boston next week, right?"
キリンってなんて鳴くんだろう？,キリン ってなんて なく ん だろう？,What noise do giraffes make?
彼女は熊を見かけて身がすくんだ。,かのじょ は くま を みかけて み が すくんだ。,She froze at the sight of the bear.
子供はいつか巣立って行くんだよね。,こども は いつか すだっていく ん だ よね。,Children all leave the nest one day.
彼女は大きなクモをみて身がすくんだ。,かのじょ は おおきな クモ を みて み が すくんだ。,She froze at the sight of the big spider.
後で友達と一緒に映画を見に行くんだ。,あとで ともだち と いっしょ に えいが を み に いく ん だ。,Afterwards I'm gonna watch a movie with a friend.
お前みたいな奴が一番むかつくんだよ。,おまえ みたい な やつ が いちばん むかつく ん だ よ。,People like you piss me off the most.
今日トムたちとカラオケ行くんだけど来ない？,きょう トムたち と カラオケ いく ん だ けど こない？,I'm going with Tom and the others to a karaoke bar today. Are you coming?
落ちはしないかという恐怖で彼は立ちすくんだ。,おち は しない かという きょうふ で かれ は たちすくんだ。,Fear of falling caused him to freeze.
お医者さんごっこだけしたの。,お いしゃさんごっこ だけ した の。,We just played doctor.
日焼けしたの？鼻の頭が真っ赤だよ。,ひやけ した の？はな の あたま が まっか だ よ。,Did you get a sunburn? The tip of your nose is completely red.
ひとことで言うと彼は大儲けしたんだ。,ひとこと で いうと かれ は おおもうけ した ん だ。,"In one word, he made a lot of money."
本当かよ？ポールがリリの唇に口付けした？,ほんとう かよ？ポール が リリ の くちびる に くちづけ した？,Is it true? Paul kissed Lily on the lips?
この件でご迷惑をおかけしたことをお詫びします。,この けん で ご めいわく を おかけ した こと を おわび します。,Please accept our apologies for the trouble this matter has caused you.
大統領は憲法を停止し、戒厳令をしきました。,だいとうりょう は けんぽう を ていし し、かいげんれい を しきました。,The President suspended the constitution and imposed martial law.
結婚が聞いてあきれる！,けっこん が きいて あきれる！,You call that a marriage?
何もしなかった。,なに も しなかった。,I didn't do anything.
誰もケガをしなかった。,だれ も ケガ を しなかった。,Nobody was injured.
彼は一睡もしなかった。,かれ は いっすい も しなかった。,He did not sleep a wink.
彼女は返答しなかった。,かのじょ は へんとう しなかった。,She didn't reply.
トムは溺死しなかった。,トム は できし しなかった。,Tom didn't drown.
トムは何もしなかった。,トム は なに も しなかった。,Tom hasn't done anything.
外出しなかったのですか。,がいしゅつ しなかった の です か。,Didn't you go out?
彼は全然勉強しなかった。,かれ は ぜんぜん べんきょう しなかった。,He didn't study at all.
彼女は返事をしなかった。,かのじょ は へんじ を しなかった。,She didn't reply.
彼らはそれをしなかった。,かれら は それ を しなかった。,They didn't do it.
メグは私を見もしなかった。,メグ は わたし を み も しなかった。,Meg didn't even look at me.
私は昨晩一睡もしなかった。,わたし は さくばん いっすい も しなかった。,I didn't sleep a wink last night.
スティーブは帰宅しなかった。,スティーブ は きたく しなかった。,Steve did not come home.
僕は生きた心地がしなかった。,ぼく は いきた ここち が しなかった。,I felt like I was dead.
その車は動こうとしなかった。,その くるま は うごこう と しなかった。,The car wouldn't start.
今日はゲームしかしなかった。,きょう は ゲーム しか しなかった。,All I did today was play games.
なんで手洗いをしなかったの？,なんで てあらい を しなかった の？,Why didn't your wash your hands?
私たちは物価を注目しなかった。,わたしたち は ぶっか を ちゅうもく しなかった。,The price did not enter into our consideration.
彼はその考えに賛成しなかった。,かれ は その かんがえ に さんせい しなかった。,He didn't go for the idea.
彼は私の提案に賛成しなかった。,かれ は わたし の ていあん に さんせい しなかった。,He didn't agree to my proposal.
私はスポーツはやりません。,わたし は スポーツ は やりません。,I don't go in for sports.
私の兄はスポーツはやりません。,わたし の あに は スポーツ は やりません。,My brother doesn't go in for sports.
僕はタバコも酒もやりません。覚せい剤だけです。,ぼく は タバコ も さけ も やりません。かくせいざい だけ です。,I don't smoke or drink. I just do pills.
私は朝食に食パンを１つかいました。,わたし は ちょうしょく に しょくぱん を １つ かいました。,I bought a loaf of bread for breakfast.
違いはいったい何ですか?,ちがい は いったい なに です か ?,What exactly is the difference?
パンはいったいどこにあるんだ？,パン は いったい どこ に ある ん だ？,Where did all the bread go?
君はいったいどこを見ているんだ？,きみ は いったい どこ を みている ん だ？,What are you looking at?
これはいったいどういうことなの。,これ は いったい どういう こと な の。,What does all this add up to?
昨夜はいったいどこにいったのですか。,さくや は いったい どこ に いった の です か。,Where on earth did you go last night?
くそ、家の鍵はいったいどこにあるか？,くそ、いえ の かぎ は いったい どこ に ある か？,"Shit, where the fuck did I put my home keys?"
彼女はいったん話し始めると止めどがない。,かのじょ は いったん はなしはじめると とめど が ない。,"Once she starts talking, she is hard to stop."
おまえの目はいったいどこについているんだ。,おまえ の め は いったい どこ に ついている ん だ。,What are you eyeing?
みんな彼のことを褒めたたえる。,みんな かれ の こと を ほめたたえる。,Everyone speaks highly of him.
彼は、いかにも学生らしい印象をあたえる青年だった。,かれ は、いかにも がくせい らしい いんしょう を あたえる せいねん だった。,He is a young man who really has the air of a student.
「ふむ」 武田先生は口ひげを捻りながらうなった。,「ふむ」たけだ せんせい は くちひげ を ねじりながら うなった。,"Hrmm, mumbled Professor Takeda as he twisted his moustache."
彼はその危険に気がつかなかった。,かれ は その きけん に き が つかなかった。,He was not aware of the danger.
誰が誰だかほとんど見分けがつかなかったよ。,だれ が だれ だ か ほとんど みわけ が つかなかった よ。,I could hardly tell who was who.
当時は、何が起きているのか想像もつかなかった。,とうじ は、なに が おきている の か そうぞう も つかなかった。,"At that time, I had no idea what was going to happen."
私は彼女が部屋から出て行くのに気がつかなかった。,わたし は かのじょ が へや から でていくのに き が つかなかった。,I didn't notice her going out of the room.
君がこんなふるまいをするなんて想像もつかなかった。,きみ が こんな ふるまい を する なんて そうぞう も つかなかった。,I cannot see you behaving like that.
いらっしゃいませんか？,いらっしゃいません か？,Would you like to come?
両親の家にいらっしゃいませんか？,りょうしん の いえ に いらっしゃいません か？,Would you like to come to my parents' house?
来年一週間泊まりにいらっしゃいませんか。,らいねん いちしゅうかん とまり に いらっしゃいません か。,How would you like to come and spend a week with us next year?
お客様の中にお医者様はいらっしゃいませんか。,おきゃくさま の なか に お いしゃさま は いらっしゃいません か。,Is there a doctor in the house?
ちょっと待って下さいね。彼はいらっしゃいません。,ちょっと まってください ね。かれ は いらっしゃいません。,Just wait a little please. He hasn't arrived yet.
やっと雨がやんでくれた。,やっと あめ が やんでくれた。,"At last, the rain stopped."
雨はまだやんでいませんね。,あめ は まだ やんでいません ね。,"The rain hasn't stopped yet, has it?"
雨がやんでくれさえしたら。,あめ が やんでくれ さえ したら。,If only the rain would stop.
雨がやんで空が明るくなった。,あめ が やんで そら が あかるく なった。,The sky lightened as it stopped raining.
雨がやんでくれたらいいのに。,あめ が やんでくれたら いい のに。,I wish the rain would stop.
彼らは私たちの成功をうらやんでいる。,かれら は わたしたち の せいこう を うらやんでいる。,They are jealous of our success.
「雨やんだかな？」「やんでるといいね」,「あめ やんだ かな？」「やんでると いい ね」,"I wonder if it's stopped raining. ""I hope so."""
実のところ、即決を悔やんでないといったら嘘だった。,み の ところ、そっけつ を くやんでない と いったら うそ だった。,"Truthfully, if I'd said I didn't have any regrets over my snap decision I'd have been lying."
鮭は川をさかのぼって砂に産卵する。,さけ は かわ を さかのぼって すな に さんらん する。,Salmon go up the river and lay their eggs in the sand.
道は急斜面をジグザグにのぼっていた。,みち は きゅうしゃめん を ジグザグ に のぼっていた。,The path zigzagged up the steep slope.
彼が詩人とかないわ。,かれ が しじん とか ない わ。,He is anything but a poet.
青空文庫におすすめとかない？,あおぞら ぶんこ に おすすめ とか ない？,Do you have any recommendations for something to read on Aozora Bunko?
食欲なくても何か食べとかないと昼までもたないよ。,しょくよく なく ても なに か たべとかない と ひる まで もたない よ。,"Even if you don't feel like eating, you should eat something. If you don't, you won't last until lunch time."
