Word,Reading,Meaning
帆,ほ,sail
帆船,"はんせん, ほぶね","sailing ship, sailing boat, sailing vessel"
帆走,はんそう,sailing
順風満帆,じゅんぷうまんぱん,smooth sailing
帆をかける,ほをかける,to raise a sail
三角帆,さんかくほ,jib sail
主帆,しゅはん,main sail
出帆,しゅっぱん,"sailing, departure"
真帆,まほ,full sail
帆柱,ほばしら,mast
暁,あかつき,"dawn, daybreak, in the event of"
暁星,ぎょうせい,"morning star, Venus, rarity"
暁の空,あかつきのそら,dawning sky
暁天,ぎょうてん,dawn
今暁,こんぎょう,this morning (at dawn)
春眠暁を覚えず,しゅんみんあかつきをおぼえず,In spring one sleeps a sleep that knows no dawn
早暁,そうぎょう,"daybreak, dawn"
通暁,つうぎょう,"well versed, thorough knowledge"
払暁,ふつぎょう,"dawn, daybreak"
仏暁,ふつぎょう,"dawn, daybreak"
傑作,けっさく,"masterpiece, best work; blunder, boner"
傑出,けっしゅつ,"excel, foremost"
豪傑,ごうけつ,"hero, great man"
傑れる,すぐれる,"to surpass, to outstrip, to excel"
怪傑,かいけつ,"man of extraordinary talent, wonder man"
傑士,けっし,"hero, great man"
傑人,けつじん,outstanding person
傑物,けつぶつ,"great man, heroic figure, remarkable character"
俊傑,しゅんけつ,"hero, genius"
人傑,じんけつ,"great man, hero"
奴,"やつ, しゃつ","fellow, guy, chap; thing, object; (derogatory or familiar) he, she, him, her"
奴隷,どれい,"slave, servant"
奴,やっこ,"servant (esp. a samurai's attendant); chivalrous man (c. Edo period); cubed tofu (often served cold); kite shaped like a footman; Edo-period hairstyle worn by samurai's attendants; enslavement (of a woman; Edo-period punishment for her own or her husband's crime); he, she, him, her"
奴,め,derogatory suffix (referring to others); humble suffix (referring to oneself)
奴,"やつこ, つぶね, やつこらま","slave; retainer, servant; captive; varlet; I, me"
奴さん,やっこさん,"samurai's attendant (in origami); (derogatory or familiar) he, she, him, her"
奴ら,やつら,"they, those guys"
うちの奴,うちのやつ,"my wife, ""the wife"""
奴め,"やつめ, しゃつめ","fellow, guy, chap; he, him, she, her"
売国奴,ばいこくど,traitor (to one's country)
天祐,てんゆう,"divine aid, divine grace, providential help"
祐筆,ゆうひつ,"private secretary, amanuensis"
神祐,しんゆう,"heavenly protection, divine help"
錠,じょう,"lock, padlock; tablet, lozenge, pill"
手錠,てじょう,"handcuffs, manacles"
錠剤,じょうざい,"pill, lozenge, tablet"
施錠,せじょう,locking
錠をかける,じょうをかける,to fasten a lock
シリンダー錠,シリンダーじょう,cylinder lock
さし錠,さしじょう,bolt
一錠,いちじょう,"one tablet or pill; tray, salver"
健胃錠,けんいじょう,stomach tablets
錠前,じょうまえ,lock
鵬,"ほう, ぼう","peng (in Chinese mythology, giant bird said to be able to turn into a fish)"
鵬,おおとり,"large bird; kun (in Chinese mythology, giant bird said to be able to turn into a fish); fenghuang (Chinese phoenix)"
鵬程,ほうてい,"long cruise, great distance"
鵬翼,ほうよく,"phoenix wings, aeroplane wings, airplane wings"
柏鵬,はくほう,(sumo) era during 1960s dominated by grand champions Taiho and Kashiwado
柏鵬時代,はくほうじだい,(sumo) era during 1960s dominated by grand champions Taiho and Kashiwado
鵬程万里,ほうていばんり,"(over) a great distance, (a long journey (flight, voyage)) to (from) a faraway place"
変遷,へんせん,"change, transition, vicissitudes"
遷都,せんと,"relocation of the capital, transfer of the capital"
遷宮,せんぐう,"installation of a deity in a new shrine, transfer of a shrine"
左遷,させん,"demotion, degradation"
遷す,うつす,"to change, to swap, to substitute, to transfer; to change the object of one's interest or focus; to spend or take time; to infect; to permeate something with the smell or colour of something; to move on to the next or different stage of (a plan, etc.)"
遷る,うつる,"to move (house), to transfer (department); to change the target of interest or concern; to elapse (passage of time); to be permeated by a colour or scent; to be infected, to be contagious, to spread (as in fire)"
マルコフ遷移,マルコフせんい,Markov transition
遷移,せんい,transition
東遷,とうせん,moving (the capital) east
遷座,せんざ,"relocation of a shrine, transfer of an object of worship"
拙速,せっそく,"hasty, rough and ready"
稚拙,ちせつ,"unskillful, childish"
拙守,せっしゅ,"poor defense, poor defence"
拙,せつ,"poor, weak; I, me"
拙い,"つたない, まずい","poor-quality, shoddy, crude; unskillful, inexpert, maladroit, inept, foolish, clumsy; unlucky"
巧拙,こうせつ,"tact, skill, workmanship"
拙劣,せつれつ,"clumsy, unskillful"
拙悪,せつあく,"poor (tasting), low quality, bad situation"
拙策,せっさく,poor policy or plan
拙者,せっしゃ,"I (primarily used by samurai), me"
侍,"さむらい, さぶらい","warrior (esp. of military retainers of daimyos in the Edo period), samurai; man in attendance (on a person of high standing), retainer"
侍従,じじゅう,chamberlain
侍医,じい,court physician
侍女,じじょ,"lady attendant, maid"
侍する,じする,"to wait upon, to serve"
侍る,はべる,"to wait upon, to serve"
侍衛,じえい,bodyguard
侍衛長,じえいちょう,captain of the guard
侍気質,さむらいかたぎ,samurai spirit
侍講,じこう,imperial tutor
峠,とうげ,"ridge, (mountain) pass, difficult part"
碓氷峠,うすいとうげ,Usui Pass
峠を越す,とうげをこす,"to cross over a pass, to finish the most difficult part, to be over the worst (e.g. an illness)"
峠道,とうげみち,road over a mountain pass
峠を越える,とうげをこえる,"to pass over the peak, to cross a pass"
危篤,きとく,"critical illness, on the verge of death"
重篤,じゅうとく,serious (illness)
篤志家,とくしか,"volunteer, self-sacrificing person"
篤い,あつい,"thick, deep, heavy; kind, cordial, hospitable, warm, faithful; serious (of an illness); abundant"
篤と,とくと,"carefully, thoroughly, fully, deliberately"
懇篤,こんとく,"cordial, kind"
篤い友情,あついゆうじょう,warm friendship
篤学,とくがく,love of learning
篤行,とっこう,"virtuous conduct, virtue, goodness"
篤農家,とくのうか,"exemplary farmer, outstanding farmer"
渇水,かっすい,water shortage
渇き,かわき,thirst
枯渇,こかつ,"drying up, becoming exhausted, running dry, starvation"
渇,かつ,thirst
渇望,かつぼう,"craving, longing, thirsting"
渇く,かわく,to be thirsty
渇ごう,かつごう,"adoration, reverence, esteem"
渇する,かっする,"to be thirsty, to be dry"
渇す,かっす,"to be thirsty, to be dry"
渇望者,かつぼうしゃ,"desiring person, luster"
叔父,"おじ, しゅくふ",uncle (younger than one's parent)
叔母,"おば, しゅくぼ",aunt (younger than one's parent)
伯叔,はくしゅく,"brothers, one's father's brothers"
大叔父,おおおじ,granduncle
大叔母,おおおば,"grandaunt, great-aunt"
叔世,しゅくせい,age of decline (said of a nation)
叔父貴,おじき,uncle (younger than one's parent)
叔父さん,おじさん,"uncle; old man, mister (vocative); manybar goatfish (Parupeneus multifasciatus)"
叔母さん,おばさん,aunt
雌,めす,female (animal)
雌雄,しゆう,male and female (animal)
雌しべ,"めしべ, しずい",pistil
雌コネクタ,めすコネクタ,female connector
雌花,めばな,female flower
雌牛,めうし,"cow, heifer"
雌犬,"めすいぬ, めいぬ","bitch, female dog"
雌性,しせい,female
雌伏,しふく,remaining in obscurity
雌螺子,めねじ,female screw
堪能,"たんのう, かんのう","proficient, skillful; satisfaction; fortitude"
堪忍袋,かんにんぶくろ,one's store of patience
堪える,"たえる, こらえる, こたえる","to bear, to stand, to endure, to put up with; to support, to withstand, to resist, to brave; to be fit for, to be equal to"
堪えかねる,たえかねる,"to be unable to endure, to be unable to stand (something), to lose patience"
堪らない,たまらない,"intolerable, unbearable, unendurable; cannot help (doing), cannot but do, anxious to do; tremendous, out of this world, irresistible"
堪えない,たえない,unable to suppress one's emotions; unable to cope with one's responsibilities
堪へる,たへる,"to bear, to stand, to endure, to put up with"
堪る,たまる,"to bear (often adds emphasis), to endure"
堪まる,たまる,"to bear (often adds emphasis), to endure"
堪えられない,こたえられない,"really good, irresistible"
叙勲,じょくん,conferring of decorations
叙情,じょじょう,"lyricism, description or expression of one's feelings"
叙事詩,じょじし,"descriptive poetry, epic poem"
自叙伝,じじょでん,autobiography
叙する,じょする,"to relate, to narrate, to describe; to confer (a rank)"
叙す,じょす,"to relate, to narrate, to describe; to confer (a rank)"
叙述,じょじゅつ,description
久濶を叙す,きゅうかつをじょす,to apologize for a long neglect of friends (apologise)
叙位,じょい,investiture
叙景,じょけい,"scenery, description"
酢,す,vinegar
酢酸,さくさん,acetic acid
酢の物,すのもの,vinegared or pickled dish
ポン酢,ポンず,juice pressed from a bitter orange; ponzu (Japanese sauce made primarily of soy sauce and citrus juice)
おろしポン酢,おろしポンず,ponzu mixed with grated daikon
甘酢,あまず,sweet vinegar
酢漬け,すづけ,pickling
酢豚,すぶた,sweet-and-sour pork
氷酢酸,ひょうさくさん,glacial acetic acid
酢酸塩,さくさんえん,acetate
亘る,わたる,"to cross over, to go across; to extend, to cover, to range, to span"
幾年にも亘る,いくねんにもわたる,to extend over so many years
亘古,こうこ,"for ever, from ancient times"
数キロに亘る,すうキロにわたる,to extend over several kilometers (kilometres)
連亘,れんこう,extending in a row
吟醸酒,ぎんじょうしゅ,type of sake brewed by low temperature fermentation from white rice milled to 60%
吟味,ぎんみ,"testing, scrutiny, careful investigation"
吟遊詩人,ぎんゆうしじん,"troubadour, minstrel"
吟じる,ぎんじる,"to chant, to sing, to recite"
愛吟,あいぎん,"favourite poem or song, favorite poem or song; lover of poetry and song"
詠吟,えいぎん,reciting poetry
吟詠,ぎんえい,recitation or chanting of a poem
吟唱,ぎんしょう,"recital, recitation, chant(ing)"
吟誦,ぎんしょう,"recital, recitation, chant(ing)"
偶吟,ぐうぎん,impromptu poem
逓信,ていしん,"communications (e.g. post, tele.)"
逓減,ていげん,successive diminution
逓送,ていそう,forwarding
逓増,ていぞう,gradual increase
逓伝,ていでん,relay
駅逓,えきてい,"delivery of packages, postal service"
逓降変圧器,ていこうへんあつき,step-down transformer
逓次,ていじ,"successively, in order"
逓倍,ていばい,multiplication (e.g. of frequencies)
逓倍器,ていばいき,multiplier (e.g. frequency)
甚だ,はなはだ,"very, greatly, exceedingly"
甚大,じんだい,"very great, enormous, serious"
激甚,げきじん,"intenseness, violence, severity, vehemence, keenness"
甚だしい,はなはだしい,"extreme, excessive, terrible, intense, severe, serious, tremendous, heavy (damage)"
甚句,じんく,"lively song, lively dance"
甚く,いたく,exceedingly
甚い,いたい,"painful, sore; exceeding"
幸甚,こうじん,"pleased, obliged, appreciative"
甚だ以て,はなはだもって,exceedingly
甚六,じんろく,"dunce, blockhead"
媛,ひめ,"princess, young lady of noble birth; girl; small & lovely"
愛媛県,えひめけん,Ehime prefecture (Shikoku)
才媛,さいえん,"literary woman, talented woman"
崇拝,すうはい,"worship, adoration, admiration, cult"
崇高,すうこう,"loftiness, sublimity, nobility"
崇める,あがめる,"to revere, to respect, to worship"
崇う,あがまう,"to look up to, to respect"
崇めたてる,あがめたてる,"to respect, to revere"
黄金崇拝,おうごんすうはい,mammon worship
偶像崇拝,ぐうぞうすうはい,"worship, idolatry"
崇敬,すうけい,reverence
祖先崇拝,そせんすうはい,ancestor worship
尊崇,そんすう,"reverence, veneration"
笹,ささ,bamboo grass
笹原,ささはら,field of bamboo grass
笹がき,ささがき,"cut into long thin shavings (primarily vegetables), in the manner a pencil is sharpened with a knife"
笹舟,ささぶね,toy bamboo-leaf boat
熊笹,くまざさ,"Veitch's bamboo (low and striped), Sasa veitchii, Sasa albo-marginata"
笹掻き,ささがき,"cut into long thin shavings (primarily vegetables), in the manner a pencil is sharpened with a knife"
笹身,ささみ,high-quality chicken breast meat
笹竹,ささたけ,small bamboo
篠笹,しのざさ,general term for bamboo
笹蜘蛛,"ささぐも, ササグモ",Oxyopes sertatus (species of lynx spider)
漆,うるし,"lacquer, varnish; lacquer tree (Toxicodendron vernicifluum)"
漆器,しっき,lacquer ware
漆塗り,うるしぬり,"lacquering, lacquer ware"
漆,"しち, なな",seven (used in legal documents)
漆黒,しっこく,jet black
漆かぶれ,うるしかぶれ,lacquer poisoning
仮漆,かしつ,varnish
乾漆像,かんしつぞう,lacquered (wooden) Buddha statue
黒漆,こくしつ,black lacquer
漆樹,うるし,"lacquer, varnish; lacquer tree (Toxicodendron vernicifluum)"
岬,みさき,cape (on coast)
岬,さき,small peninsula
岬湾,こうわん,"indentations, capes"
岬角,こうかく,"anat promontory, promontory"
癖,くせ,"a habit (often a bad habit, i.e. vice), peculiarity"
口癖,くちぐせ,"way of saying, favorite phrase, favourite phrase"
潔癖,けっぺき,"fastidiousness, love of cleanliness"
性癖,せいへき,"disposition, inclination, characteristic, idiosyncrasy"
癖になる,くせになる,to become a habit
癖のある,くせのある,to be quirky
癖に,くせに,"and yet, though, when, in spite of"
その癖,そのくせ,"and yet, even so, nonetheless, for all that"
悪癖が直る,あくへきがなおる,to get over a bad habit
一癖,ひとくせ,"trait, peculiarity, idiosyncrasy"
不愉快,ふゆかい,"discomfort, unpleasantness, disagreeableness, unhappiness"
愉快,ゆかい,"pleasant, happy"
愉しい,たのしい,"enjoyable, fun"
愉しみ,たのしみ,"enjoyment, pleasure, diversion, amusement, hobby; anticipation, looking forward to"
愉しげ,たのしげ,"happy, cheerful, pleasant"
愉楽,ゆらく,pleasure
愉悦,ゆえつ,joy
愉色,ゆしょく,"cheerful expression, pleased look"
愉快犯,ゆかいはん,criminal who takes delight in people's reaction to his crimes
暗礁,あんしょう,"reef, sunken rock"
岩礁,がんしょう,reef
座礁,ざしょう,"running aground, being stranded"
環礁,かんしょう,"atoll, circular coral reef"
サンゴ礁,"さんごしょう, サンゴしょう",coral reef
珊瑚礁,"さんごしょう, サンゴしょう",coral reef
離礁,りしょう,refloat
堡礁,ほしょう,barrier reef
坐礁,ざしょう,"running aground, being stranded"
漁礁,ぎょしょう,reef where fish live and breed
駐屯,ちゅうとん,"stationing (troops), occupancy"
屯,"たむろ, たむら","gathering, place where people gather; police station, camp, barracks"
屯,"とん, トン",ton
屯する,"たむろする, とんする","to gather in large numbers (of people), to hang out (as a large group); to assemble (as a military unit or posse), to be quartered (in a particular location)"
屯す,とんす,"to gather in large numbers (of people), to hang out (as a large group); to assemble (as a military unit or posse), to be quartered (in a particular location)"
載貨屯数,さいかとんすう,deadweight tonnage
駐屯所,ちゅうとんじょ,"military station, post"
駐屯地,ちゅうとんち,garrison
屯営,とんえい,"military camp, barracks, camping"
屯所,とんしょ,"post, quarters, military station, police station"
婚姻,こんいん,"marriage, matrimony"
姻戚,いんせき,"relative by marriage, affinity"
姻族,いんぞく,"in-law, relative by marriage"
婚姻届,こんいんとどけ,marriage registration
婚姻法,こんいんほう,marriage laws
婚姻届書,こんいんとどけしょ,marriage registration
婚姻届け書,こんいんとどけしょ,marriage registration
婚姻手続,こんいんてつづき,"marriage procedures, procedure of marriage"
婚姻手続き,こんいんてつづき,"marriage procedures, procedure of marriage"
婚姻要件具備証明書,こんいんようけんぐびしょうめいしょ,"certificate of legal capacity to contract marriage, certification of one's legal capacity to be married"
綾,あや,"figure, design; twill weave, pattern of diagonal stripes"
綾なす,あやなす,richly variegated in color or pattern
綾錦,あやにしき,twill damask and brocade
綾糸,あやいと,"colored thread, coloured thread, thread of cat's cradle, heddle thread"
綾織り,あやおり,twill (fabric)
綾織,あやおり,twill (fabric)
綾布,あやぬの,twill damask and brocade
綾取り,あやとり,cat's cradle
綾取,あやとり,cat's cradle
目も綾,めもあや,"dazzlingly beautiful, brilliant"
模擬,もぎ,"imitation, sham, mock; simulation"
模擬店,もぎてん,refreshment booth
擬い,まがい,"imitation, sham, -like"
擬える,"なぞらえる, なずらえる","to pattern after, to liken to, to imitate"
サフラン擬,サフランもどき,zephyr lily
擬き,もどき,pseudo-
擬する,ぎする,"to imitate, to copy, to mimic; to enter someone as a candidate; to press (e.g. a weapon against someone's back); to compare, to liken"
擬す,ぎす,"to imitate, to copy, to mimic; to enter someone as a candidate; to press (e.g. a weapon against someone's back); to compare, to liken"
擬薬,ぎやく,"inactive placebo, placebo"
擬音,ぎおん,"imitative sounds (drama, broadcasting)"
塀,へい,"wall, fence"
土塀,どべい,"mud wall, earthen wall, plaster wall"
ブロック塀,ブロックべい,concrete-block wall
れんが塀,れんがべい,brick wall
石塀,いしべい,stone wall
板塀,いたべい,"wooden fence, board fence"
船板塀,ふないたべい,fence made from disused ship planks
練り塀,ねりべい,mud and tile wall topped with tile
塀を巡らす,へいをめぐらす,"to fence in, to surround with a wall"
煉瓦塀,れんがべい,brick wall
唇,くちびる,lips
陰唇,いんしん,"the labium, labia"
口唇,こうしん,"lips, labia"
紅唇,こうしん,red lips
朱唇,しゅしん,red lips
唇音,しんおん,labial sound
読唇術,どくしんじゅつ,lip reading
下唇,"したくちびる, かしん",lower lip
上唇,"じょうしん, うわくちびる",upper lip
兎唇,"いぐち, としん, みつくち, とけつ","harelip, cleft lip"
閑散,かんさん,"leisure, quiet, inactivity"
閑静,かんせい,"quiet (e.g. neighbourhood, neighborhood)"
閑古鳥,かんこどり,cuckoo
閑,"ひま, いとま","spare time, free time, leisure; time off, day off, vacation, holiday, leave; quitting (one's job), firing someone, divorcing (one's spouse); (of one's time) free, (of one's business) slow; leaving, departing"
閑,かん,"spare time, free time, leisure"
閑か,しずか,"quiet, peaceful"
農閑期,のうかんき,"slack season for farmers, leisure season for farmers"
偸閑,あからさま,"plain, frank, candid, open, direct, straightforward"
等閑,"なおざり, とうかん","neglect, negligence, disregard, make light of"
安閑,あんかん,easygoingness
幽霊,ゆうれい,"ghost, specter, spectre, apparition, phantom"
幽す,ゆうす,to confine to a room
幽か,かすか,"faint, dim, weak, indistinct, hazy, poor, wretched"
幽し,かそけし,"faint, fleeting"
幽閉,ゆうへい,"confinement, imprisonment, incarceration, house arrest, depressed feeling"
幽暗,ゆうあん,dark and secluded
幽雅,ゆうが,refinement
幽界,ゆうかい,"hades, realm of the dead"
幽閑,ゆうかん,quiet and secluded
幽鬼,ゆうき,"ghost, revenant, spirit (of the dead), departed soul"
剛毅,ごうき,"fortitude, firmness of character, hardihood, manliness"
毅然として,きぜんとして,with resolution
毅然,きぜん,"fortitude, firmness, resolution"
剛毅果断,ごうきかだん,"dauntless and decisive, with fortitude and resolution"
法曹,ほうそう,"legal profession, lawyer"
法曹界,ほうそうかい,legal circles
軍曹,ぐんそう,sergeant
御曹司,おんぞうし,"son of a distinguished family, son of a noble"
一曹,いっそう,master sergeant (JSDF)
一等軍曹,いっとうぐんそう,sergeant first-class
１等軍曹,いっとうぐんそう,sergeant first-class
御曹子,おんぞうし,"son of a distinguished family, son of a noble"
三曹,さんそう,sergeant (JSDF)
三等軍曹,さんとうぐんそう,sergeant
詠む,よむ,"to compose (e.g. a Japanese poem), to write; to recite (e.g. a poem), to chant"
詠み人知らず,よみびとしらず,"author unknown, anonymous; unknown waka composer"
詠う,うたう,"to sing; to sing (one's praises in a poem, etc.)"
詠じる,えいじる,"to compose (e.g. poem), to recite, to sing"
朗詠,ろうえい,recitation (of Japanese or Chinese poem)
遺詠,いえい,posthumous song or poem
一句詠む,いっくよむ,to make up a haiku poem
詠歌,えいか,"poem, song, (Buddh.) pilgrim's song"
詠吟,えいぎん,reciting poetry
詠唱,えいしょう,aria
稔り,みのり,"ripening (of a crop); crop, harvest"
稔る,みのる,"to bear fruit, to ripen"
稔実不良,ねんじつふりょう,poor crop (of rice)
豊稔,ほうねん,bumper harvest
卑劣,ひれつ,"mean, foul play, cowardly, base"
卑屈,ひくつ,"menial, meanness, servility, abject"
男尊女卑,だんそんじょひ,"male domination of women, male chauvinism, subjection of women"
卑下,ひげ,"self-abasement, humility, self-depreciation"
卑しい,いやしい,"greedy, vulgar, shabby, humble, base, mean, vile"
卑しむ,いやしむ,"to despise, to disdain, to scorn"
卑しめる,いやしめる,"to despise, to abase (oneself)"
卑しむべき,いやしむべき,despicable
卑しからぬ,いやしからぬ,"respectable, decent"
卑しみ,いやしみ,contempt
侮辱,ぶじょく,"insult, contempt, slight"
侮,ぶ,"(something) despised, (something) made light of"
侮り,あなどり,"contempt, scorn"
侮る,"あなどる, あなずる","to despise, to disdain, to make light of"
軽侮,けいぶ,"contempt, scorn"
侮言,ぶげん,insult
侮蔑,ぶべつ,"scorn, disdain, contempt, slight"
侮慢,ぶまん,"contempt, insult, offense, offence"
法廷侮辱,ほうていぶじょく,contempt of court
侮り難い敵,あなどりがたいてき,formidable enemy
鋳る,いる,"to cast, to mint, to coin"
鋳型,いがた,"mold, mould, template"
鋳物,いもの,"cast metal, casting"
鋳造,ちゅうぞう,"casting, founding, minting"
改鋳,かいちゅう,"reminting, recasting"
再鋳,さいちゅう,recasting
鋳工,ちゅうこう,metal caster
鋳鉄,ちゅうてつ,cast iron
鋳貨,ちゅうか,"coinage, mintage"
鋳金,ちゅうきん,casting
一抹,いちまつ,"(a) touch of, tinge of, wreath (e.g. of smoke); one stroke, one brush"
抹消,まっしょう,"erasure, delete (e.g. DEL character)"
抹茶,まっちゃ,powdered green tea for ceremonies
抹殺,まっさつ,"erasure, denial, obliteration, ignoring (an opinion)"
丁抹,"デンマーク, でんまーく",Denmark
塗抹,とまつ,"smear, daub, coating over"
抹消登録証明書,まっしょうとうろくしょうめいしょ,proof of vehicle having been registered as disposed of
抹香,まっこう,"incense, incense powder"
抹香鯨,"まっこうくじら, マッコウクジラ",sperm whale
抹香臭い,まっこうくさい,"smelling of incense, overly pious"
大尉,"たいい, だいい","captain (Army, U.S. Marine Corps, USAF), lieutenant (Navy), flight lieutenant (RAF, RAAF, RNZAF, etc.)"
中尉,ちゅうい,"first lieutenant, lieutenant junior grade"
一尉,いちい,captain (JSDF)
少尉,しょうい,"second lieutenant, sublieutenant, ensign"
尉,じょう,"jailer, gaoler, old man, rank, company officer"
尉官,いかん,"officer below the rank of major, company officer"
三尉,さんい,second lieutenant (JSDF)
准尉,じゅんい,warrant officer
二尉,にい,first lieutenant (JSDF)
空尉,くうい,"(Self Defense Force's Air Force) captain (defence), lieutenant"
奴隷,どれい,"slave, servant"
隷書,れいしょ,"clerical script (ancient, highly angular style of kanji)"
蛮隷,ばんれい,slaves of the barbarians
隷従,れいじゅう,slavery
隷属,れいぞく,subordination
奴隷制度,どれいせいど,slavery
篆隷,てんれい,seal style and ancient square style
欲の奴隷,よくのどれい,slave to avarice
隷下,れいか,"subordinates, followers"
奴隷解放,どれいかいほう,emancipation of slaves
惨禍,さんか,calamity
禍根,かこん,root of evil
戦禍,せんか,"war damages, ravages of war"
禍,わざわい,"calamity, catastrophe"
禍,まが,"wickedness, evil, calamity, disaster"
黄禍,こうか,Yellow Peril
禍因,かいん,cause of trouble
禍害,かがい,"evil, harm, mischief"
禍源,かげん,source of misfortune
禍福,かふく,weal and woe
酪農,らくのう,dairy (farm)
乾酪,かんらく,cheese
乾酪素,かんらくそ,casein
乳酪,にゅうらく,butter
酪製品,らくせいひん,dairy product
酪農家,らくのうか,dairy farmer
酪農場,らくのうじょう,dairy farm
酪農製品,らくのうせいひん,dairy produce
酪酸,らくさん,butyric acid
牛酪,ぎゅうらく,butter
茎,くき,stalk
芋茎,ずいき,taro stem
陰茎,いんけい,penis
花茎,かけい,stem of flower
球茎,きゅうけい,"(plant) bulb, onion"
歯茎,はぐき,"gum, tooth ridge"
地下茎,ちかけい,rhizome
直立茎,ちょくりつけい,erect stem
包茎,ほうけい,phimosis
水茎,みずぐき,"writing brush, brush strokes"
元帥,げんすい,"(field) marshal, (fleet) admiral, general of the army"
総帥,そうすい,"commander, leader"
統帥,とうすい,"supreme command, high command"
帥,"そち, そつ",director of the Dazaifu
元帥府,げんすいふ,Supreme Military Council (1898-1945)
太元帥妙王,だいげんすいみょうおう,"Atavaka, generalissimo of the Vidya-rajas"
帥先,そっせん,taking the initiative
将帥,しょうすい,commander
統帥権,とうすいけん,supreme command authority
大元帥,だいげんすい,"commander-in-chief, generalissimo"
逝去,せいきょ,death
急逝,きゅうせい,sudden death
逝く,"ゆく, いく","to die, to pass away"
逝けメン,"いけめん, いけメン",exceptionally ugly man
夭逝,ようせい,premature death
長逝,ちょうせい,"death, passing"
逝け面,"いけめん, いけメン",exceptionally ugly man
善逝,ぜんぜい,Sugata (the well-gone; epithet of Buddha)
匿名,とくめい,"anonymity, pseudonym"
隠匿,いんとく,concealment
匿,とく,"shelter, shield, hide"
秘匿,ひとく,"hiding, concealment"
匿れる,かくれる,"to hide, to be hidden, to conceal oneself, to disappear"
匿う,かくまう,"to shelter, to shield, to hide"
隠匿者,いんとくしゃ,"hider, person in hiding"
隠匿物資,いんとくぶっし,concealed materials
匿名性,とくめいせい,anonymity
蔵匿,ぞうとく,"concealment, shelter, harboring, harbouring"
襟,えり,"neck, collar, lapel, neckband"
襟元,えりもと,"front of neck, collar"
胸襟,きょうきん,one's heart
襟ぐり,えりぐり,"neckline (of dress, etc.)"
開襟シャツ,かいきんシャツ,open-collared shirt
共襟,ともえり,same-colored neckband (coloured)
襟巻き,えりまき,"muffler, scarf, comforter"
襟巻,えりまき,"muffler, scarf, comforter"
襟巻蜥蜴,"えりまきとかげ, エリマキトカゲ","frilled lizard (Chlamydosaurus kingii), frill-necked lizard"
襟巻き蜥蜴,"えりまきとかげ, エリマキトカゲ","frilled lizard (Chlamydosaurus kingii), frill-necked lizard"
蛍,"ほたる, ホタル","firefly, lightning bug"
蛍光灯,けいこうとう,"fluorescent lamp, fluorescent light; person who is slow to react, someone slow on the uptake"
蛍光,けいこう,fluorescence
蛍光塗料,けいこうとりょう,fluorescent paint
蛍光物質,けいこうぶっしつ,"fluorescent substance, phosphor"
蛍狩り,ほたるがり,firefly catching
蛍雪の功,けいせつのこう,the fruit of diligent study
蛍火,"けいか, ほたるび",light of a firefly
蛍光燈,けいこうとう,"fluorescent lamp, fluorescent light; person who is slow to react, someone slow on the uptake"
蛍烏賊,"ほたるいか, ホタルイカ","firefly squid (Watasenia scintillans), sparkling enope squid"
寡占,かせん,oligopoly
寡黙,かもく,"silent (person), shy, tacitern, reticent, uncommunicative"
寡,"かふ, やもめ",widow
寡婦,"かふ, やもめ",widow
寡い,すくない,"few, a little, scarce, insufficient, seldom"
寡作,かさく,low production
多寡,たか,"quantity, number, amount"
寡言,かげん,"reticence, taciturnity"
寡少,かしょう,"little, few, scanty"
寡勢,かぜい,"small military force, numerically inferior force"
下痢,げり,"diarrhoea, diarrhea"
赤痢,せきり,dysentery
疫痢,えきり,children's dysentery
赤痢菌,せきりきん,shigella (dysentery bacillus)
下痢が移った,げりがうつった,infected with diarrhea (diarrhoea)
アメーバ赤痢,アメーバせきり,amoebic dysentery
下痢止め,げりどめ,"antidiarrheal, paregoric, obstipant"
凡庸,ぼんよう,"mediocre, banality, commonplace"
中庸,ちゅうよう,"middle way, (golden) mean, moderation, middle path; the Doctrine of the Mean - one of the Four Books"
庸愚,ようぐ,"mediocrity, imbecility"
庸人,ようじん,common man
登庸,とうよう,"appointment, assignment, promotion"
租庸調,そようちょう,"corvee, taxes in kind or service (former tax system)"
庸君,ようくん,stupid ruler
庸才,ようさい,mediocre talent
凡庸愚昧,ぼんようぐまい,"ordinary and ignorant, mediocre and stupid"
坑内,こうない,within a pit or (mine) shaft
坑道,こうどう,"tunnel, (mine) level"
廃坑,はいこう,"abandoned mine, disused mine"
坑,こう,pit (esp. of a mine)
坑口,こうこう,"pithead, minehead"
坑内事故,こうないじこ,mine accident
入坑,にゅうこう,entrance into drift or pit
金坑,きんこう,gold mine
坑夫,こうふ,miner
炭坑,たんこう,"coal mine, coal pit"
楊,"やなぎ, ようりゅう",willow (any tree of genus Salix); weeping willow (Salix babylonica)
黄楊,"つげ, ツゲ","Japanese box tree (Buxus microphylla var. japonica), Japanese boxwood"
垂楊,すいよう,weeping willow
爪楊枝,つまようじ,toothpick
楊柳,"やなぎ, ようりゅう",willow (any tree of genus Salix); weeping willow (Salix babylonica)
楊枝,ようじ,toothpick
犬黄楊,"いぬつげ, イヌツゲ",Japanese holly (Ilex crenata)
白楊,"はこやなぎ, どろのき, はくよう","Japanese aspen, white poplar"
楊子,ようじ,toothpick
